Ident	Api	free	title	author	digital	available	isbn	barcode	year	branch	home_branch	category	publisher	keyword	system	audience	location	order	database
Hoyerswerda	bibliotheca	true	true	true	false	false	true	false	true	false	false	true	false	true	true	true	false	true	false
Winnenden	bibliotheca	true	true	true	false	false	true	false	true	false	false	true	false	true	true	true	false	true	false
Bruck_idOpf	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Wilhermsdorf	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
BobenheimRoxheim	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Bocholt	bibliotheca	true	true	true	false	false	true	false	true	false	false	true	false	true	true	true	false	true	false
Baunatal	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Bobingen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Lohfelden	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Monheim	bibliotheca	true	true	true	false	false	true	false	true	true	false	true	false	true	true	true	false	true	false
Bad_Toelz	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Vohburg	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Randersacker	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Volkach	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Altena	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Eichenau	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Kulmbach	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
MuehldorfInn	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Gerolzhofen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
KaufungenNiederkaufungen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Roedermark	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Eislingen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Espelkamp	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Schillingsfuerst	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Hattersheim	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
BietigheimBissingen	bibliotheca	true	true	true	false	false	true	false	true	true	false	true	false	true	true	true	false	true	false
Fuessen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Pfaffenhofen_Ilm	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Cuxhaven	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Suessen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
